time,y_1,y_2,width,y
1170,6.333333333300001,6.333333333300001,3,7.0811111111
1345,4.849,4.64,3,4.611000000000001
680,6.7542857143,4.91875,3,5.1966666667000005
355,5.2457142857,5.76375,3,3.6922222222000003
1100,13.433,12.994000000000002,3,13.093
1300,5.194,5.194,3,4.8389999999999995
750,6.5642857142999995,8.20875,3,6.7588888889
1335,5.449,6.027,3,6.606
995,12.216,13.227,2,17.487000000000002
890,11.14,12.817,2,10.533
65,0.726,0.85,3,0.7120000000000001
475,10.523,11.761,2,10.777999999999999
835,11.772,12.599,3,12.685
40,0.978,1.072,2,0.20600000000000002
45,1.0925,1.0925,3,0.97
280,4.239,4.505,3,4.416
340,8.632,7.65,3,10.655999999999999
1340,4.64,5.132999999999999,3,4.849
280,4.3839999999999995,4.133,3,5.56
390,5.699,5.122000000000001,3,6.316
875,11.204,14.295,3,13.638
485,11.715,12.339,3,12.172
205,0.512,0.623,3,1.145
915,10.405999999999999,9.301,2,11.717
810,7.49,9.039,2,7.6770000000000005
530,13.162,10.117,3,11.927
1405,2.6289999999999996,3.616,3,3.656
295,4.445,5.916,2,5.171
600,9.306000000000001,10.145,3,8.795
740,6.789,11.168,2,7.255
320,6.022,5.432,2,6.816
885,10.922,9.776,3,9.912
405,13.424000000000001,12.012,2,11.783
975,23.489,22.223000000000003,3,17.177
1105,11.773,11.773,3,10.155
710,10.777000000000001,10.482000000000001,3,11.07
305,4.599,5.171,2,4.899
1175,10.027000000000001,7.966,3,8.005
795,10.6366666667,6.4816666667,2,8.744
1080,11.495,12.955,3,14.662
735,7.455,7.577999999999999,2,7.452000000000001
1050,19.749000000000002,16.485,3,19.660999999999998
500,10.689,8.917,2,8.929
865,9.738999999999999,8.61,2,13.323
1215,5.233,6.4225,3,7.623333333300001
795,6.5,6.4214285714,3,8.65
1335,2.722,3.122,2,2.3040000000000003
525,5.5922222222,5.5922222222,3,5.205
20,1.301,0.95,3,0.9209999999999999
1095,12.895,11.799000000000001,3,11.661
755,6.7588888889,6.5642857142999995,3,7.4175
